utterance,intent,category
I need help to chat with someone,contact_human_agent,CONTACT
I try to talk with an agent,contact_human_agent,CONTACT
can you transfer to me an agent?,contact_human_agent,CONTACT
help contacting an agent,contact_human_agent,CONTACT
speak to a goddamn live agent,contact_human_agent,CONTACT
I do not know what I need to do to contact an agent,contact_human_agent,CONTACT
need help to talk with somebody,contact_human_agent,CONTACT
how to talk with somebody,contact_human_agent,CONTACT
want assistance to speak with a human agent,contact_human_agent,CONTACT
need help talking to somebody,contact_human_agent,CONTACT
what do i have to do to talk to someone,contact_human_agent,CONTACT
can I talk to an agent?,contact_human_agent,CONTACT
i need help talking with an assistant,contact_human_agent,CONTACT
how to talk to an agent?,contact_human_agent,CONTACT
I don't know what to do to talk to an agent,contact_human_agent,CONTACT
can you help me to contact an agent?,contact_human_agent,CONTACT
I do not know what I have to do to contact an agent,contact_human_agent,CONTACT
need assistance speaking with an operator,contact_human_agent,CONTACT
I don't know what I need to do to chat with a live agent,contact_human_agent,CONTACT
i dont know what to do to talk to a fucking live agent,contact_human_agent,CONTACT
help chattinb with an operator,contact_human_agent,CONTACT
wanna chat with a person,contact_human_agent,CONTACT
what do I need to do to talk with somebody?,contact_human_agent,CONTACT
would it be possible to contact an agent?,contact_human_agent,CONTACT
i do not know how to talk to a live agent,contact_human_agent,CONTACT
I want assistance contacting an agent,contact_human_agent,CONTACT
I do not know how I can contact an agent,contact_human_agent,CONTACT
i want help contacting a human agent,contact_human_agent,CONTACT
i need help to talk with a human agent,contact_human_agent,CONTACT
i have to contact somebody,contact_human_agent,CONTACT
assistance talking to an agent,contact_human_agent,CONTACT
I need assistance talking to an agent,contact_human_agent,CONTACT
need to speak with an human agent,contact_human_agent,CONTACT
is it possible to chat with someone?,contact_human_agent,CONTACT
I want help talking to an agent,contact_human_agent,CONTACT
help me to contact an agent,contact_human_agent,CONTACT
assistance speaking with an agent,contact_human_agent,CONTACT
"I do not understand you, how to speak with a human agent?",contact_human_agent,CONTACT
how can i contact someone,contact_human_agent,CONTACT
I have to contact an agent,contact_human_agent,CONTACT
i need assistance to talk with a human agent,contact_human_agent,CONTACT
could you help me to talk to an agent?,contact_human_agent,CONTACT
I can't contact an agent,contact_human_agent,CONTACT
I have got to speak to a damn operator,contact_human_agent,CONTACT
how to register?,create_account,ACCOUNT
I need assistance opening a bloody different user account,create_account,ACCOUNT
need help to create a different online account for my mom,create_account,ACCOUNT
how do I create an account?,create_account,ACCOUNT
help me to create another user account for my daughter,create_account,ACCOUNT
i do not have an account want help registering,create_account,ACCOUNT
i try to create a user account for my dad,create_account,ACCOUNT
I don't know how I could create an account,create_account,ACCOUNT
I want to open a different account,create_account,ACCOUNT
what do I need to do to create an account?,create_account,ACCOUNT
I want help to open an account,create_account,ACCOUNT
I don't know how I can register,create_account,ACCOUNT
I have to open another online account,create_account,ACCOUNT
I am trying to open another online account for my wife,create_account,ACCOUNT
could I register?,create_account,ACCOUNT
i have not regiwtered yet i try to create a user account,create_account,ACCOUNT
help to create a different user account for my dad,create_account,ACCOUNT
creating account,create_account,ACCOUNT
I do not know how I could create an account,create_account,ACCOUNT
how do i create a goddamn new account,create_account,ACCOUNT
how to open a new standard account?,create_account,ACCOUNT
I'm not ur client yet how can i isgn up,create_account,ACCOUNT
I do not know what I have to do to create an account,create_account,ACCOUNT
how do i create another damn plus account,create_account,ACCOUNT
I do not know how to open a different account,create_account,ACCOUNT
I do not know what I have to do to open a new online account,create_account,ACCOUNT
registering,create_account,ACCOUNT
assistance creating a new user account,create_account,ACCOUNT
"I am not your customer, I want help signing pu",create_account,ACCOUNT
i need help to sign up,create_account,ACCOUNT
I do not know what to do to register,create_account,ACCOUNT
I want help to open another accouint,create_account,ACCOUNT
assistance creating an online account,create_account,ACCOUNT
"I am not a client, need assistance to sign up",create_account,ACCOUNT
help me open a new account,create_account,ACCOUNT
can I create an account?,create_account,ACCOUNT
ihave not registered yet i wanna open a user account,create_account,ACCOUNT
what do I need to do to open an account?,create_account,ACCOUNT
I am trying to create an account,create_account,ACCOUNT
can I open a different online account?,create_account,ACCOUNT
assistance to register,create_account,ACCOUNT
can I open a different account?,create_account,ACCOUNT
want help to create a different user account for my dad,create_account,ACCOUNT
I don't know what to do to create an account,create_account,ACCOUNT
help me opening a new avcount,create_account,ACCOUNT
I try to create a basic account for my wife,create_account,ACCOUNT
I don't know how I can create a gold account for my husband,create_account,ACCOUNT
i dont know what i need to do to create an online account,create_account,ACCOUNT
what do I need to do to open a new account?,create_account,ACCOUNT
I need assistance to register,create_account,ACCOUNT
I need help to create an account,create_account,ACCOUNT
assistance registering,create_account,ACCOUNT
I don't know how to open a different account for my dad,create_account,ACCOUNT
I don't know how to create an account,create_account,ACCOUNT
creating differentuser account,create_account,ACCOUNT
I don't know how I could register,create_account,ACCOUNT
I am trying to open a user account for my dad,create_account,ACCOUNT
I am trying to open a different account for my mum,create_account,ACCOUNT
want help to open a gold account for my fiance,create_account,ACCOUNT
I need help to open a new freemium account,create_account,ACCOUNT
i want assistance to create a basic account,create_account,ACCOUNT
I want help to create an account for my bride,create_account,ACCOUNT
I try to open a different user account,create_account,ACCOUNT
assistance to open a new user account for my mum,create_account,ACCOUNT
I do not know how I can register,create_account,ACCOUNT
assistance opening a new account,create_account,ACCOUNT
how to open a different online account,create_account,ACCOUNT
want help opening a different online account for my husband,create_account,ACCOUNT
i need help creating another account,create_account,ACCOUNT
could I create another standard account?,create_account,ACCOUNT
help to register,create_account,ACCOUNT
is it possible to open a fucking user account for my fiancee,create_account,ACCOUNT
i want assistance to create a new standard account,create_account,ACCOUNT
how do I open another onlikne account for my mom?,create_account,ACCOUNT
can icreate a user account,create_account,ACCOUNT
help opening a new user acocunt for my daughter,create_account,ACCOUNT
I'd like to open another standard account for my husband,create_account,ACCOUNT
I have got to create a different user account for my bride,create_account,ACCOUNT
i dont know how i can create a new online account,create_account,ACCOUNT
what do I need to do to create another online account?,create_account,ACCOUNT
I need assistance creating an account,create_account,ACCOUNT
I want to create another online account for my wife,create_account,ACCOUNT
"I do not have a user account , need assistance creating one",create_account,ACCOUNT
I do not know how to create an account,create_account,ACCOUNT
i dont know what i have to do to open a account,create_account,ACCOUNT
can you help me creating an online account for my mom?,create_account,ACCOUNT
I want to create a new account,create_account,ACCOUNT
creating different online account,create_account,ACCOUNT
want help to open a new account,create_account,ACCOUNT
help registering,create_account,ACCOUNT
I'm trying to open a different online account for my mother,create_account,ACCOUNT
want assistance to open a user account for my daughter,create_account,ACCOUNT
I try to create a new account,create_account,ACCOUNT
would it be possible to create an account?,create_account,ACCOUNT
ohw can i sign up,create_account,ACCOUNT
I need to open a different user account,create_account,ACCOUNT
I have to register,create_account,ACCOUNT
help creating a basic account for my fiance,create_account,ACCOUNT
need assistance creating a gold account for my fiance,create_account,ACCOUNT
I do not know what I need to do to register,create_account,ACCOUNT
I would like to create an account,create_account,ACCOUNT
i need assistance to create a different user account,create_account,ACCOUNT
I have to create an account,create_account,ACCOUNT
I want help to create an account,create_account,ACCOUNT
I need to register,create_account,ACCOUNT
i want help creating a new online account,create_account,ACCOUNT
how could I create an account?,create_account,ACCOUNT
could you help me create an account?,create_account,ACCOUNT
can uhelp me open a new user account,create_account,ACCOUNT
assistance to create an account,create_account,ACCOUNT
i do not know what to do to open another freemium account,create_account,ACCOUNT
I do not know how I could register,create_account,ACCOUNT
i dont know what to do to sign up,create_account,ACCOUNT
how do I register?,create_account,ACCOUNT
I want help to register,create_account,ACCOUNT
I don't know what to do to register,create_account,ACCOUNT
I don't know how to register,create_account,ACCOUNT
I'm not one of ur mwmbers I'm trying to sign up,create_account,ACCOUNT
I need to create an account,create_account,ACCOUNT
creaitng premium account for fiancee,create_account,ACCOUNT
is it possible to create another online account?,create_account,ACCOUNT
can uhelp me opening a new user account,create_account,ACCOUNT
how do I open an account?,create_account,ACCOUNT
acn ya help me creating a new online account,create_account,ACCOUNT
is it possible to open another account for my dad,create_account,ACCOUNT
want help opening a new account,create_account,ACCOUNT
I need assistance creating a different account for my mum,create_account,ACCOUNT
I want help opening a different gold account for my fiance,create_account,ACCOUNT
help me opening another online account for my mother,create_account,ACCOUNT
is it possible to create an account?,create_account,ACCOUNT
is it possxible to create a basic account,create_account,ACCOUNT
what do I have to do to create an account?,create_account,ACCOUNT
I do not know how I can create an account,create_account,ACCOUNT
i do nt know how i can sign up,create_account,ACCOUNT
i want help creating a new account,create_account,ACCOUNT
is it possible to open another online account for my mother?,create_account,ACCOUNT
can you help me open a new online account for my husband?,create_account,ACCOUNT
I don't know what I need to do to create an account,create_account,ACCOUNT
I need assistance registering,create_account,ACCOUNT
help to open another user account for my mum,create_account,ACCOUNT
help me creating a user account for my mum,create_account,ACCOUNT
i have not signed up yet help creating an online account,create_account,ACCOUNT
how can I register?,create_account,ACCOUNT
I am trying to open  a new online account for my mom,create_account,ACCOUNT
need help opening another account for my bride,create_account,ACCOUNT
I don't know what to do to open a different account,create_account,ACCOUNT
i try to create a new account for my father,create_account,ACCOUNT
I have got to register,create_account,ACCOUNT
I am trying to open another standard account,create_account,ACCOUNT
i want help creating another goddamn plus account for my mom,create_account,ACCOUNT
what do I need to do to register?,create_account,ACCOUNT
I have got to create a new online account,create_account,ACCOUNT
how can I sign up?,create_account,ACCOUNT
I want assistance to register,create_account,ACCOUNT
I'm not ur client i need help registering,create_account,ACCOUNT
i need assistance to open a user account,create_account,ACCOUNT
I need assistance creating another account for my mum,create_account,ACCOUNT
I do not know how I can create a different premium account,create_account,ACCOUNT
could you help me to create an account?,create_account,ACCOUNT
help me registering,create_account,ACCOUNT
is it possible to create a different account?,create_account,ACCOUNT
open new online account for father,create_account,ACCOUNT
I have got to create an account,create_account,ACCOUNT
I need help creating an account,create_account,ACCOUNT
can you help me to create an account?,create_account,ACCOUNT
creating account for daughter,create_account,ACCOUNT
want assistancer to open a new plus account for my fiance,create_account,ACCOUNT
I want to register,create_account,ACCOUNT
what do i need to do to create an account,create_account,ACCOUNT
can uhelp me to open an online account,create_account,ACCOUNT
i do not know how to create a user account,create_account,ACCOUNT
I don't know what I have to do to register,create_account,ACCOUNT
can you help me to register?,create_account,ACCOUNT
could you help me to create a new online account?,create_account,ACCOUNT
want help creating another freemium account,create_account,ACCOUNT
i do not know what i need to do to open a new plus account,create_account,ACCOUNT
can I register?,create_account,ACCOUNT
can you help me sign up my son?,create_account,ACCOUNT
could you help me registering?,create_account,ACCOUNT
I need to create another account for my dad,create_account,ACCOUNT
i dont have a bloody account i want assistance tp sign up,create_account,ACCOUNT
I do not know how to open another user account,create_account,ACCOUNT
I want assisatance to create another account for my fiancee,create_account,ACCOUNT
help opening a different account,create_account,ACCOUNT
I don't know how I could open a new user account,create_account,ACCOUNT
"I do not ahve a user account, help me to register",create_account,ACCOUNT
assistance creating a bloody new account,create_account,ACCOUNT
i need help to create a premium account,create_account,ACCOUNT
I do not know what to do to create an account,create_account,ACCOUNT
how do i open an new user account,create_account,ACCOUNT
ned to create another user account for my mum,create_account,ACCOUNT
i do not know how to create a new account,create_account,ACCOUNT
I am trying to register,create_account,ACCOUNT
I try to create a bloody online account,create_account,ACCOUNT
i have to crete another standard account,create_account,ACCOUNT
can you help me create an account?,create_account,ACCOUNT
what do I have to do to create a new account ?,create_account,ACCOUNT
how to open a different account?,create_account,ACCOUNT
i have got to create another online account,create_account,ACCOUNT
what do I have to do to register?,create_account,ACCOUNT
I want help creating an account,create_account,ACCOUNT
i have got to create a different user account how to do it,create_account,ACCOUNT
I need to create a different online account for my mother,create_account,ACCOUNT
I want assistance to create an account,create_account,ACCOUNT
I do not know what I need to do to create an account,create_account,ACCOUNT
register,create_account,ACCOUNT
I need assistance creating a gold account,create_account,ACCOUNT
could I create an account?,create_account,ACCOUNT
what do I have to do to create a different user account?,create_account,ACCOUNT
create account,create_account,ACCOUNT
help me register,create_account,ACCOUNT
I want help registering,create_account,ACCOUNT
help me create an account,create_account,ACCOUNT
I do not know how I can open a new user account,create_account,ACCOUNT
open acconut for wife,create_account,ACCOUNT
I want help opening another online account,create_account,ACCOUNT
how to create an account?,create_account,ACCOUNT
is it possible to register?,create_account,ACCOUNT
I don't know how to open a user account,create_account,ACCOUNT
I want assistance creating an account,create_account,ACCOUNT
I don't know what I have to do to create an account,create_account,ACCOUNT
help me to create an account,create_account,ACCOUNT
help me open another online account for my husband,create_account,ACCOUNT
help to create an online account for my  mom,create_account,ACCOUNT
i havent signed up help me opening a user account,create_account,ACCOUNT
help to create another online account,create_account,ACCOUNT
I need assistance to create an account,create_account,ACCOUNT
need help opening a new account,create_account,ACCOUNT
i need help to create a different basic account,create_account,ACCOUNT
help me create a new user account for my father,create_account,ACCOUNT
can you help me registering?,create_account,ACCOUNT
could you help me creating an account?,create_account,ACCOUNT
how could I register?,create_account,ACCOUNT
how to open another account?,create_account,ACCOUNT
i have to open a different account,create_account,ACCOUNT
help to create an account,create_account,ACCOUNT
can you help me creating an account?,create_account,ACCOUNT
I would like to know about a user account deletion,delete_account,ACCOUNT
how do I delete the account?,delete_account,ACCOUNT
problems with user account deletions,delete_account,ACCOUNT
I would like to delete an account,delete_account,ACCOUNT
can you help me deleting my account?,delete_account,ACCOUNT
I want help cancelling my plus account,delete_account,ACCOUNT
help me deleting the account,delete_account,ACCOUNT
I need to delete my account,delete_account,ACCOUNT
assistance deleting an account,delete_account,ACCOUNT
wanna know more about my user acount removal,delete_account,ACCOUNT
I would like to know more about user account deletions,delete_account,ACCOUNT
I want help deleting the account,delete_account,ACCOUNT
I don't know how I can delete the account,delete_account,ACCOUNT
I do not know how to delete the account,delete_account,ACCOUNT
i need information about the deletion of  my online account,delete_account,ACCOUNT
how can I delete my account?,delete_account,ACCOUNT
I try to close the online account,delete_account,ACCOUNT
could you tell me about a user account deletion?,delete_account,ACCOUNT
can uhelp me to cancel the account,delete_account,ACCOUNT
I want assistance to delete my account,delete_account,ACCOUNT
what do I have to do to delete my account?,delete_account,ACCOUNT
how can I get information about user account deletions?,delete_account,ACCOUNT
i have a question about the termination of an account,delete_account,ACCOUNT
I am looking for information about user account deletions,delete_account,ACCOUNT
I don't know how I could delete the account,delete_account,ACCOUNT
I want help to delete an account,delete_account,ACCOUNT
I am trying to find information about user account deletions,delete_account,ACCOUNT
I have a problem with user account deletions,delete_account,ACCOUNT
I have a question about a user account deletion,delete_account,ACCOUNT
help me delete my account,delete_account,ACCOUNT
i no longer want my secondary acount i have to close it,delete_account,ACCOUNT
"I do not make use of the online accoynt, help cancelling it",delete_account,ACCOUNT
I need assistance deleting my account,delete_account,ACCOUNT
I don't know how I can delete my account,delete_account,ACCOUNT
assistance to delete my account,delete_account,ACCOUNT
problems with a user account deletion,delete_account,ACCOUNT
I am looking for information about a user account deletion,delete_account,ACCOUNT
I want assistance to delete an account,delete_account,ACCOUNT
give me information about a user account deletion,delete_account,ACCOUNT
"I do not want the user account, help removing it",delete_account,ACCOUNT
help me removing a secondary account,delete_account,ACCOUNT
could you help me delete an account?,delete_account,ACCOUNT
information about standard account deletions,delete_account,ACCOUNT
help me delete the account,delete_account,ACCOUNT
what do I need to do to delete the account?,delete_account,ACCOUNT
"I no longer need the online account, assistance deleting it",delete_account,ACCOUNT
can you help me deleting the account?,delete_account,ACCOUNT
I try to delete an account,delete_account,ACCOUNT
tell me about a user account deletion,delete_account,ACCOUNT
I wan assistance to delete the secondary account,delete_account,ACCOUNT
I want information about user account deletions,delete_account,ACCOUNT
is it possible to delete the account?,delete_account,ACCOUNT
I want assistance deleting an account,delete_account,ACCOUNT
I do not know what to do to delete my account,delete_account,ACCOUNT
I don't know what I have to do to delete the account,delete_account,ACCOUNT
could you give me information about user account deletions?,delete_account,ACCOUNT
is it possible to cancel the account?,delete_account,ACCOUNT
I need help to delete my account,delete_account,ACCOUNT
could you help me to delete the account?,delete_account,ACCOUNT
I want to delete my account,delete_account,ACCOUNT
I need assistance to delete an account,delete_account,ACCOUNT
I don't know what to do to delete my account,delete_account,ACCOUNT
I do not know how to delete an account,delete_account,ACCOUNT
can I delete my account?,delete_account,ACCOUNT
can ya tell me about my user account termination,delete_account,ACCOUNT
where could I get information about user account deletions?,delete_account,ACCOUNT
could you help me to delete an account?,delete_account,ACCOUNT
help deleting the account,delete_account,ACCOUNT
could you help me deleting an account?,delete_account,ACCOUNT
help me to cancel a secondary account,delete_account,ACCOUNT
can you help me deleting an account?,delete_account,ACCOUNT
i need assistance to close an online account,delete_account,ACCOUNT
I don't know how I could delete an account,delete_account,ACCOUNT
I don't know how I can delete an account,delete_account,ACCOUNT
I need help deleting an account,delete_account,ACCOUNT
I have a problem with the removal of a secondary account,delete_account,ACCOUNT
i have problems with the termination of a user account,delete_account,ACCOUNT
how can I delete an account?,delete_account,ACCOUNT
I have got to delete my account,delete_account,ACCOUNT
I do not know what I have to do to delete my account,delete_account,ACCOUNT
I do not know what I need to do to delete an account,delete_account,ACCOUNT
help me to delete the account,delete_account,ACCOUNT
I do not know how I could delete the account,delete_account,ACCOUNT
I do not know what to do to delete the account,delete_account,ACCOUNT
I try to delete my account,delete_account,ACCOUNT
can you give me information about user account deletions?,delete_account,ACCOUNT
I need assistance deleting an account,delete_account,ACCOUNT
I have a problem with the cancellation of an online account,delete_account,ACCOUNT
where can I find information about a user account deletion?,delete_account,ACCOUNT
I want assistance deleting the account,delete_account,ACCOUNT
find information about user account deletions,delete_account,ACCOUNT
I want to know more about user account deletions,delete_account,ACCOUNT
can you help me delete the account?,delete_account,ACCOUNT
how could I find information about user account deletions?,delete_account,ACCOUNT
need help removing the user account,delete_account,ACCOUNT
assistance deleting the account,delete_account,ACCOUNT
where can I get information about a user account deletion?,delete_account,ACCOUNT
I need information about a user account deletion,delete_account,ACCOUNT
problem with a user account deletion,delete_account,ACCOUNT
where can i find information about my account cancellation,delete_account,ACCOUNT
give me information about the termination of a user account,delete_account,ACCOUNT
where can i find information about my account deletion,delete_account,ACCOUNT
I do not know how I could delete an account,delete_account,ACCOUNT
I need assistance to delete the account,delete_account,ACCOUNT
how to delete my account?,delete_account,ACCOUNT
I don't know what I need to do to delete my account,delete_account,ACCOUNT
I want to know about user account deletions,delete_account,ACCOUNT
I want assistance to close my user account,delete_account,ACCOUNT
help deleting the user account,delete_account,ACCOUNT
I would like to know about user account deletions,delete_account,ACCOUNT
I have problems with user account deletions,delete_account,ACCOUNT
I do not know how I can delete an account,delete_account,ACCOUNT
how to delete a freemium account,delete_account,ACCOUNT
what do I need to do to delete my account?,delete_account,ACCOUNT
question about a user account deletion,delete_account,ACCOUNT
I have to delete an account,delete_account,ACCOUNT
can you tell me more about the cancellation of my account?,delete_account,ACCOUNT
I have got to delete the account,delete_account,ACCOUNT
I don't know what I need to do to close my account,delete_account,ACCOUNT
how can I find information about user account deletions?,delete_account,ACCOUNT
delete account,delete_account,ACCOUNT
could you tell me more about user account deletions?,delete_account,ACCOUNT
deleting account,delete_account,ACCOUNT
I do not know how I can delete the account,delete_account,ACCOUNT
assistance to cancel the goddamn user account,delete_account,ACCOUNT
I do not know how I can close the gold account,delete_account,ACCOUNT
I have to delete my account,delete_account,ACCOUNT
how could I delete an account?,delete_account,ACCOUNT
can you help me delete my account?,delete_account,ACCOUNT
how could I delete the account?,delete_account,ACCOUNT
how do I delete my account?,delete_account,ACCOUNT
help to delete the account,delete_account,ACCOUNT
i need help canceling  the secondary account,delete_account,ACCOUNT
i do not know how i can close my user account,delete_account,ACCOUNT
tell me more about a standard account removal,delete_account,ACCOUNT
how can I get information about a user account deletion?,delete_account,ACCOUNT
can ya give me information about my premium account deletion,delete_account,ACCOUNT
I want help deleting an account,delete_account,ACCOUNT
canceling secondary account,delete_account,ACCOUNT
I need assistance deleting the account,delete_account,ACCOUNT
I need to delete the account,delete_account,ACCOUNT
how could I delete my account?,delete_account,ACCOUNT
I don't know what I have to do to delete an account,delete_account,ACCOUNT
I want to delete the account,delete_account,ACCOUNT
I want assistance to delete the account,delete_account,ACCOUNT
would you give me information about user account deletions?,delete_account,ACCOUNT
help deleting my account,delete_account,ACCOUNT
where can I find information about account deletions?,delete_account,ACCOUNT
I do not know how I could delete my account,delete_account,ACCOUNT
I need help deleting the account,delete_account,ACCOUNT
I don't know what I need to do to delete the account,delete_account,ACCOUNT
I do not know what I need to do to delete the account,delete_account,ACCOUNT
I want help deleting my account,delete_account,ACCOUNT
i do not know what i have to do to cancel my user account,delete_account,ACCOUNT
I don't know how to delete my account,delete_account,ACCOUNT
I would like to know more about a user account deletion,delete_account,ACCOUNT
I need help deleting my account,delete_account,ACCOUNT
is it possible to delete an account?,delete_account,ACCOUNT
i need help to close the online account,delete_account,ACCOUNT
is it possible to clsoe a user account?,delete_account,ACCOUNT
I try to delete the account,delete_account,ACCOUNT
I would like information about a user account deletion,delete_account,ACCOUNT
can you help me delete an account?,delete_account,ACCOUNT
I need to delete an account,delete_account,ACCOUNT
information about a user account deletion,delete_account,ACCOUNT
give me information about the cancellation of an account,delete_account,ACCOUNT
I need assistance to delete my account,delete_account,ACCOUNT
find information about the cancellation of my user account,delete_account,ACCOUNT
how could I get information about a user account deletion?,delete_account,ACCOUNT
I am trying to delete an account,delete_account,ACCOUNT
I need information about user account deletions,delete_account,ACCOUNT
I don't know what I need to do to delete an account,delete_account,ACCOUNT
I don't know what to do to delete the account,delete_account,ACCOUNT
would you give me information about a user account deletion?,delete_account,ACCOUNT
I am trying to delete the account,delete_account,ACCOUNT
can you help me to delete an account?,delete_account,ACCOUNT
I do not know what I have to do to delete an account,delete_account,ACCOUNT
I wantto cancel the account,delete_account,ACCOUNT
how do I delete an account?,delete_account,ACCOUNT
could you help me to delete my account?,delete_account,ACCOUNT
"I do not use my secondary account, I need help canceling it",delete_account,ACCOUNT
I want help cancelling the secondary account,delete_account,ACCOUNT
can you tell me about user account deletions?,delete_account,ACCOUNT
i do not make use of my gold account how can i remove it,delete_account,ACCOUNT
what do I have to do to delete an account?,delete_account,ACCOUNT
how could I find information about a user account deletion?,delete_account,ACCOUNT
i never use my online adcount i wanna remove it,delete_account,ACCOUNT
would it be possible to delete my account?,delete_account,ACCOUNT
what do I need to do to delete a user account?,delete_account,ACCOUNT
I want help to delete the account,delete_account,ACCOUNT
help me to delete my account,delete_account,ACCOUNT
help deleting an account,delete_account,ACCOUNT
I don't know how I could delete my account,delete_account,ACCOUNT
where can i get information about an account termination,delete_account,ACCOUNT
I have to delete the account,delete_account,ACCOUNT
I don't know how to delete an account,delete_account,ACCOUNT
have problems with the termination of a secondary account,delete_account,ACCOUNT
I would like to delete my account,delete_account,ACCOUNT
I need help closing the account,delete_account,ACCOUNT
i try to remove my account,delete_account,ACCOUNT
help me deleting my account,delete_account,ACCOUNT
information about user account deletions,delete_account,ACCOUNT
give me information about user account deletions,delete_account,ACCOUNT
how can I find information about a user account deletion?,delete_account,ACCOUNT
what do i have to do to remove thd freemium account,delete_account,ACCOUNT
could you help me deleting my account?,delete_account,ACCOUNT
find information about a user account deletion,delete_account,ACCOUNT
could you help me delete the account?,delete_account,ACCOUNT
can you tell me more about a user account deletion?,delete_account,ACCOUNT
could you give me information about a user account deletion?,delete_account,ACCOUNT
help me to delete an account,delete_account,ACCOUNT
would it be possible to delete the account?,delete_account,ACCOUNT
I want to remove a premium account,delete_account,ACCOUNT
where can I get information about user account deletions?,delete_account,ACCOUNT
where can I find information about user account deletions?,delete_account,ACCOUNT
i dont know what  to do to close my plus account,delete_account,ACCOUNT
could you help me delete my account?,delete_account,ACCOUNT
I do not know what I need to do to delete my account,delete_account,ACCOUNT
tell me more about a user account deletion,delete_account,ACCOUNT
how to delete an account?,delete_account,ACCOUNT
could you tell me more about a user account deletion?,delete_account,ACCOUNT
I am trying to delete my account,delete_account,ACCOUNT
would it be possible to delete an account?,delete_account,ACCOUNT
I want to know more about a user account deletion,delete_account,ACCOUNT
what do I need to do to delete an account?,delete_account,ACCOUNT
where could I get information about a user account deletion?,delete_account,ACCOUNT
I do not know how to delete my account,delete_account,ACCOUNT
can you help me to delete my account?,delete_account,ACCOUNT
help me delete an account,delete_account,ACCOUNT
I want to know about a user account deletion,delete_account,ACCOUNT
will you give me information about user account deletions?,delete_account,ACCOUNT
I want assistance deleting the user account,delete_account,ACCOUNT
is it possible to remove my gold account,delete_account,ACCOUNT
I don't know what to do to delete an account,delete_account,ACCOUNT
I need help to delete an account,delete_account,ACCOUNT
what do I need to do to close my user account?,delete_account,ACCOUNT
problem with the options for delivery,delivery_options,DELIVERY
I need to check what delivery options I can choose,delivery_options,DELIVERY
I am calling to check what options for delivery I have,delivery_options,DELIVERY
where do I check the options for delivery?,delivery_options,DELIVERY
assistance to check what options for delivery you offer,delivery_options,DELIVERY
I have got to check what delivery options I can choose,delivery_options,DELIVERY
I want to check what delivery options are available,delivery_options,DELIVERY
how can I check what delivery options are available?,delivery_options,DELIVERY
I am looking for information about the options for delivery,delivery_options,DELIVERY
I have got to check what delivery options are available,delivery_options,DELIVERY
where to check the options for delivery?,delivery_options,DELIVERY
could you help me checking the options for delivery?,delivery_options,DELIVERY
I want assistance checking what delivery options I have,delivery_options,DELIVERY
could you tell me more about the options for delivery?,delivery_options,DELIVERY
tell me about the options for delivery,delivery_options,DELIVERY
I don't know how to check what options for delivery I have,delivery_options,DELIVERY
I try to check what options for delivery are available,delivery_options,DELIVERY
help me checking what options for delivery I have,delivery_options,DELIVERY
tell me more about the options for delivery,delivery_options,DELIVERY
I need help to check what delivery options I have,delivery_options,DELIVERY
is it possible to check what options for delivery you offer?,delivery_options,DELIVERY
check delivery options,delivery_options,DELIVERY
I do not know how I could check the delivery options,delivery_options,DELIVERY
I want to check what options for delivery you offer,delivery_options,DELIVERY
help me check what delivery options I can choose,delivery_options,DELIVERY
I try to check what options for delivery I can choose,delivery_options,DELIVERY
can I check the delivery options?,delivery_options,DELIVERY
could you give me information about the delivery options?,delivery_options,DELIVERY
I am trying to check the delivery options,delivery_options,DELIVERY
I don't know how I could check the options for delivery,delivery_options,DELIVERY
I try to check what options for delivery you offer,delivery_options,DELIVERY
could you show me the options for delivery?,delivery_options,DELIVERY
how could I check what delivery options I have?,delivery_options,DELIVERY
help to check what options for delivery are available,delivery_options,DELIVERY
help me checking what delivery options I have,delivery_options,DELIVERY
I have to check the options for delivery,delivery_options,DELIVERY
where could I check what options for delivery are available?,delivery_options,DELIVERY
I have got to check the options for delivery,delivery_options,DELIVERY
I need help checking what delivery options you offer,delivery_options,DELIVERY
can I check what options for delivery you offer?,delivery_options,DELIVERY
how could I check what options for delivery are available?,delivery_options,DELIVERY
what are the available delivery options?,delivery_options,DELIVERY
is it possible to check what delivery options you offer?,delivery_options,DELIVERY
I am calling to check what delivery options I can choose,delivery_options,DELIVERY
where can I check what options for delivery you offer?,delivery_options,DELIVERY
check the options for delivery,delivery_options,DELIVERY
how could I check what delivery options are available?,delivery_options,DELIVERY
I am trying to check what delivery options I have,delivery_options,DELIVERY
I want assistance checking the delivery options,delivery_options,DELIVERY
can you help me to check the options for delivery?,delivery_options,DELIVERY
I don't know how I could check what delivery options I have,delivery_options,DELIVERY
I would like information about the delivery options,delivery_options,DELIVERY
how do I check the delivery options?,delivery_options,DELIVERY
I have to check what options for delivery are available,delivery_options,DELIVERY
help me to check what delivery options you offer,delivery_options,DELIVERY
I try to check the delivery options,delivery_options,DELIVERY
I want to know about the delivery options,delivery_options,DELIVERY
help to check what options for delivery you offer,delivery_options,DELIVERY
I have a question about the delivery options,delivery_options,DELIVERY
question about the delivery options,delivery_options,DELIVERY
can you help me checking what delivery options I can choose?,delivery_options,DELIVERY
I need assistance checking what delivery options you offer,delivery_options,DELIVERY
how to check what options for delivery I can choose?,delivery_options,DELIVERY
I am looking for the delivery options,delivery_options,DELIVERY
could I check what options for delivery you offer?,delivery_options,DELIVERY
